"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"90",1100,23,0,0,0,-0.101095182242482,0.0172860286690644,0.0609747070620135
"91",3000,23,0,0,0,-0.190544870481298,-0.197273375477484,-0.0041855116415136
"92",8200,23,0,0,0,-0.189061566194451,0.0492093679426588,0.00297300509054943
"93",500,24,0,0,0,-0.106146413230137,-0.180034942350993,0.0931480925175914
"94",1100,24,0,0,0,-0.150222551980012,-0.351919792405592,0.0201490209802475
"95",3000,24,0,0,0,-0.15795041532275,0.00134883398411456,0.0453211103695876
"96",8200,24,0,0,0,-0.214144473242087,-0.0132666146978105,-0.00638412499312146
"97",500,25,0,0,0,-0.119151227563083,0.0798495753582604,0.076437099125803
"98",1100,25,0,0,0,-0.158242632723442,-0.312337908079949,0.0843694200282854
"99",3000,25,0,0,0,-0.155585708414267,-0.00736398879027167,0.0282692563351277
"100",8200,25,0,0,0,-0.203215506832513,-0.0486196002182292,-0.0266610813926462
"101",500,26,0,0,0,-0.216207692044445,-0.253917968221014,-0.013617450646594
"102",1100,26,0,0,0,-0.222295654838467,-0.179110163317014,-0.045845309289525
"103",3000,26,0,0,0,-0.189134016092221,0.0211924731945596,0.0158845043219278
"104",8200,26,0,0,0,-0.192255774804278,0.0189545149853609,-0.00960931019055156
"105",500,27,0,0,0,-0.236832907420275,-0.174462302572886,-0.113617566324639
"106",1100,27,0,0,0,-0.225623277751395,-0.177973820053791,-0.0334709526507818
"107",3000,27,0,0,0,-0.168363220422998,0.0670297293042241,0.0344611932088419
"108",8200,27,0,0,0,-0.191049204520637,0.0303878929287691,-0.00886059208959467
"109",500,28,0,0,0,-0.230662810936951,-0.123251662992986,-0.0549961179613697
"110",1100,28,0,0,0,-0.19367627267517,-0.0432956679256677,0.062997244559291
"111",3000,28,0,0,0,-0.205089598136197,0.00628835249738091,0.0292884566536609
"112",8200,28,0,0,0,-0.174551100743808,0.00928474874309559,0.00536914086812246
"113",500,29,0,0,0,-0.146487072245677,-0.012669092070548,-0.0551641029723285
"114",1100,29,0,0,0,-0.152872300918958,0.0616159927651656,0.0109486000977781
"115",3000,29,0,0,0,-0.160086111759673,0.113496465570906,0.0624736085160806
"116",8200,29,0,0,0,-0.206993306866523,0.00231768549075606,-0.0324091261659971
"117",500,30,0,0,0,-0.162831768561697,-0.0137369901396631,0.00518882294880529
